world_id,name,rarity,world_type,cost,resource_output,sector_effect,control_bonus,structure_synergy,counterplay,visual_identity
solar_forge_moon,Solar Forge Moon,Rare,Star,2,Plasma,First shield each turn is plus one stronger while controlled,Gain one Influence if three shielded allies occupy connected sectors,Dawn Spire and Solar Reactor,Corrupt or occupy adjacent sectors to break shield formation,Gold plasma moon with shield rings
void_nest,Void Nest,Rare,Corrupted,2,Biomass,Friendly organism deaths can spawn Broodlings adjacent,Gain one Influence when three corrupted sectors connect,Hive Nest and Biomass Vat,Purify burn or deny empty adjacent sectors,Purple-black nest with tendrils and pulsing sacs
relay_grid,Relay Grid,Rare,Machine,2,Data,Connected Machine worlds extend Deploy Beacon,Gain one Influence when three Machine sectors connect,Drone Foundry and Relay Grid structures,Raid structures or sever connected sectors,Cyan hard-light grid and drone lanes
verdant_seedbed,Verdant Seedbed,Rare,Verdant,2,Verdance,End step heals one friendly entity on this sector,Gain one Influence if Verdant controls a connected chain of five,Worldroot Nursery and Spore Beacon,Use Ember damage or corrupt before spread,Green bioluminescent roots and spores
crimson_crucible,Crimson Crucible,Rare,Crucible,2,Ember,Entities played here take one damage and gain plus one attack,Gain one Influence when damaged allies survive on Crucible sectors,Ember Cannon and Crucible Forge,Freeze or shield through self-damage risk,Red volcanic cracks and blood-metal forge glow
astral_gate,Astral Gate,Rare,Astral,2,Aether,Friendly entities can Blink between connected gates,Gain three Influence if two gates stay active for two turns,Time Observatory and Astral Gate,Destroy one gate or occupy destination sectors,Blue-white portal ring and constellation floor
barren_moon,Barren Moon,Common,Barren,1,None,Neutral terraform base with no combat modifier,Draw a card if you control no other worlds,Refinery and Frontier Harvester,Low value if opponent can outdevelop,Grey cratered moon dust
crystal_reef,Crystal Reef,Uncommon,Mineral,2,Crystal,Allies on this sector take one less Kinetic damage once per turn,Gain one Influence if a structure survives here for two turns,Crystal Bastion and Refinery,Use Ember Tech or Void pressure,Angular crystal reef with resonance rings
gas_storm_bank,Gas Storm Bank,Uncommon,Gas,2,Tritium,Flyers gain plus one move from this sector,Gain one Influence when a Flyer crosses center row from here,Refinery and storm structures,Ranged attacks and terrain sealing,Storm clouds with lightning veins
blackstar_prison,Blackstar Prison,Holo,Astral,3,Aether,First enemy entering this sector each turn is slowed or placed in Stasis,Gain Influence when Stasis prevents an attack,Time Observatory and Gate,Attack from range or purify the sector,Dark star lens with frozen orbit lines
living_ocean,Living Ocean,Holo,Organic,3,Biomass,At end step damaged organisms here regenerate one,Gain Influence when three entities regenerate in one turn,Worldroot Nursery and Hive Nest,Ember area damage or displacement,Breathing ocean with glowing membranes
supernova_wreath,Supernova Wreath,Mythic,Star,4,Plasma,At start of controller turn deal one Radiant to enemies on adjacent corrupted sectors,Gain two Influence when corruption is purified,Solar Reactor and Dawn Spire,Play around adjacency or destroy structures,Exploding star halo with golden shockwaves
worldheart_genesis,Worldheart Genesis,Singularity,Astral,5,Aether,Requires center-row control and four different controlled world types,Gain ten Influence and trigger cosmetic commander ascension when Genesis resolves,Any structure that protects center control,Contest center corrupt Worldheart or break world diversity,Blue-white living planet core with orbiting terrain fragments
