card_id,name,faction,rarity,card_type,cost,attack,hp,damage_school,defense_profile,creature_class,world_affinity,structure_class,keywords,combine_family,board_role
solari_acolyte,Solari Acolyte,Solari,Common,Entity,1,1,2,Radiant,Lightform,Infantry,Star,None,Evolve;Shield,solari_dawn_line,Early evolution body
lightblade_sentinel,Lightblade Sentinel,Solari,Uncommon,Entity,2,3,2,Radiant,Lightform,Infantry,Star,None,StrikeFirst;Shield,solari_blade_line,Early pressure and shield tempo
dawn_knight,Dawn Knight,Solari,Rare,Entity,3,3,4,Radiant,Lightform,Infantry,Star,None,Guardian;Bastion,solari_dawn_line,Formation anchor
stellar_guardian_aeon,Stellar Guardian Aeon,Solari,Holo,Entity,5,3,7,Radiant,Lightform,Titan,Star,None,Guardian;Shield;Immovable,solari_aeon_line,Defensive wall and control stabilizer
solar_forge_moon,Solar Forge Moon,Solari,Rare,World,2,0,0,Radiant,Structure,Caster,Star,None,Terraform;ShieldBoost,solari_worlds,Star terrain identity
dawn_spire,Dawn Spire,Solari,Holo,Structure,3,0,5,Radiant,Structure,Construct,Star,Spire,ShieldAura;Influence,solari_structures,Defensive engine
radiant_aegis,Radiant Aegis,Solari,Uncommon,Attachment,1,0,0,Radiant,Lightform,Infantry,Star,None,Armor;Shield,solari_relics,Survivability attachment
dawnbreak,Dawnbreak,Solari,Mythic,Anomaly,5,0,0,Radiant,Unarmored,Caster,Star,None,AreaDamage;Purify,solari_mythics,Comeback and corruption cleanse
void_broodling,Void Broodling,Voidborn,Common,Entity,1,1,1,Void,Chitin,Swarm,Corrupted,None,DeathBiomass,void_brood_line,Swarm seed
acid_spitter,Acid Spitter,Voidborn,Uncommon,Entity,2,2,2,Bio,Chitin,Beast,Organic,None,Ranged;AntiShield,void_spitter_line,Anti-defense ranged pressure
infestor_node,Infestor Node,Voidborn,Rare,Entity,3,1,5,Void,Chitin,Swarm,Corrupted,None,Guardian;Corrupt,void_infestor_line,Board conversion
brood_tyrant,Brood Tyrant,Voidborn,Holo,Entity,4,4,4,Void,Chitin,Beast,Corrupted,None,Overwhelm;BroodScaling,void_brood_line,Swarm payoff
void_nest,Void Nest,Voidborn,Rare,World,2,0,0,Void,Structure,Caster,Corrupted,None,Terraform;Spawn,void_worlds,Corrupted terrain identity
hive_nest,Hive Nest,Voidborn,Holo,Structure,3,0,4,Void,Structure,Construct,Corrupted,Nest,Spawn,void_structures,Pressure engine
parasite_carapace,Parasite Carapace,Voidborn,Uncommon,Attachment,1,0,0,Bio,Chitin,Swarm,Organic,None,Armor;DeathSpawn,void_relics,Sticky board attachment
world_hunger,World Hunger,Voidborn,Mythic,Anomaly,5,0,0,Void,Unarmored,Caster,Corrupted,None,Consume;SplitDamage,void_mythics,Finisher
survey_drone,Survey Drone,Synthari,Common,Entity,1,1,1,Tech,Machine,Drone,Machine,None,Flying;Scan,synthari_drone_line,Cheap utility and scouting
relay_operator,Relay Operator,Synthari,Uncommon,Entity,2,2,3,Tech,Machine,Infantry,Machine,None,DeploySynergy;DroneCreate,synthari_operator_line,Setup body
overclocked_striker,Overclocked Striker,Synthari,Rare,Entity,3,5,2,Tech,Machine,Drone,Machine,None,StrikeFirst;Overclock,synthari_overclock_line,Burst damage
