card_id,resonance_cost,affinity_requirement,material_requirement,material_amount,expected_turn,baseline_value,actual_value,rarity_pressure,setup_requirement,counterplay_note,pricing_note
stellar_spectrometry,2,Solari,Plasma,0,2,4.0,4.2,0.1,Star or survey target,Pressure research worlds,Science value is mostly unlock progress
shield_harmonics_lab,3,Solari,Plasma,1,3,6.0,6.8,0.4,Star world or lab slot,Destroy or raid lab project,Project produces progression not direct stats
corona_engineering,4,Solari,Plasma,1,4,8.0,9.2,0.8,Corruption field tests,Punish before purge unlock,Holo research unlock priced high
dawn_reactor_blueprint,3,Solari,Plasma,1,3,6.0,6.9,0.5,Star structure slot,Contest Star economy,Blueprint creates future reactor options
adaptive_genomics,3,Voidborn,Biomass,1,3,6.0,7.0,0.5,Organism survival data,Kill organisms before adaptation,Research improves evolution paths
brood_incubator_array,4,Voidborn,Biomass,2,4,8.0,9.6,0.8,Organic or Corrupted lab site,Purge or deny empty sectors,Holo project is slow but snowballs
corruption_trial,2,Voidborn,Biomass,0,2,4.0,4.4,0.2,Corrupted sector access,Purify test sector,Cheap field-test enabler
biomass_pressure_vat,3,Voidborn,Biomass,1,3,6.0,7.0,0.5,Organic structure site,Raid vat or burn terrain,Project supports resource growth
autonomous_diagnostics,2,Synthari,Data,0,2,4.0,4.3,0.2,Machine sector or scan target,Corrupt Machine network,Science supports scan progression
drone_fabricator_patent,3,Synthari,Data,1,3,6.0,7.0,0.5,Machine structure site,Sever network or raid foundry,Blueprint unlocks drone production
quantum_compiler,4,Synthari,Data,2,4,8.0,9.5,0.8,Connected Machine worlds,Destroy network nodes,Holo automation research
hardlight_proving_ground,3,Synthari,Data,1,3,6.0,6.8,0.4,Attachment testing,Remove test carriers,Project accelerates attachment science
xenobotany_survey,2,Verdant,Verdance,0,2,4.0,4.3,0.2,Verdant or Organic sector,Use Ember or corruption,Science tracks healing terrain
spore_culture_lab,3,Verdant,Verdance,1,3,6.0,6.9,0.5,Verdant lab site,Burn or raid lab,Project supports spore tech
living_armor_grafting,4,Verdant,Verdance,2,4,8.0,9.4,0.8,Healing and attachment tests,Silence or burst targets,Holo unlocks living armor options
worldroot_irrigation,3,Verdant,Verdance,1,3,6.0,7.1,0.5,Verdant world chain,Corrupt or sever chain,Project supports world growth
metallurgy_trials,2,Crimson,Ember,0,2,4.0,4.4,0.2,Damage or armor target,Heal or avoid structure trades,Science supports weapon testing
siege_engine_works,4,Crimson,Ember,2,4,8.0,9.7,0.8,Crucible structure site,Destroy project before siege module,Holo project unlocks siege builds
ember_stress_test,3,Crimson,Ember,1,3,6.0,7.1,0.5,Damage-survival trial,Kill damaged units outright,Research rewards risk
blood_metal_refinery,3,Crimson,Ember,1,3,6.0,7.0,0.5,Crucible or Mineral site,Raid refinery or deny Ember,Resource project fuels engineering
temporal_hypothesis,2,Astral,Aether,0,2,4.0,4.3,0.2,Forecast or Astral target,Pressure before setup,Science starts time track
portal_calibration_rig,3,Astral,Aether,1,3,6.0,7.0,0.5,Astral gate site,Occupy or seal gate,Project improves Blink safety
stasis_safety_chamber,3,Astral,Aether,1,3,6.0,6.8,0.5,Stasis field tests,Attack outside stasis lanes,Project controls lockdown risk
relativity_engine,5,Astral,Aether,2,5,10.0,12.5,1.2,Multiple Astral tests,Contest gates and center,Mythic science unlock
field_test_charter,1,Neutral,None,0,1,2.0,2.1,0.0,Any field test,No direct tempo impact,Common research smoothing
engineering_academy,3,Neutral,Alloy,1,3,6.0,7.0,0.5,Crew or lab slot,Raid project queue,Trains faster engineering
prototype_bay,2,Neutral,Data,0,2,4.0,4.5,0.2,Prototype card testing,Prototype risk remains,Early project enabler
planetary_survey_lab,2,Neutral,Tritium,0,2,4.0,4.4,0.2,Unknown or Barren sectors,Pressure survey targets,World discovery support
materials_exchange,3,Neutral,Data,1,3,6.0,6.8,0.5,Multiple materials,Exchange rate inefficient,Utility economy project
safety_review,1,Neutral,None,0,1,2.0,2.0,0.0,Prototype risk,No direct board pressure,Common safety valve
expedition_grants,2,Neutral,Tritium,0,2,4.0,4.4,0.2,Operation or Gas world,Delay operations,Logistics science support
tech_salvage_rights,3,Neutral,Data,1,3,6.0,7.1,0.5,Destroyed tech or structure,Deny tech deaths,Research from battlefield wreckage
